"","Location","Date","New_Cases","Measure","Exports_Value","Imports_Value"
"221","New Zealand",2020-10-05,3,"$",232000000,164000000
"222","New Zealand",2020-10-06,3,"$",106000000,241000000
"223","New Zealand",2020-10-07,3,"$",147000000,215000000
"224","New Zealand",2020-10-08,2,"$",97000000,238000000
"225","New Zealand",2020-10-09,4,"$",175000000,202000000
"226","New Zealand",2020-10-10,1,"$",135000000,34000000
"227","New Zealand",2020-10-11,0,"$",163000000,35000000
"228","New Zealand",2020-10-12,1,"$",200000000,178000000
"229","New Zealand",2020-10-13,2,"$",128000000,267000000
"230","New Zealand",2020-10-14,2,"$",119000000,295000000
"231","New Zealand",2020-10-15,4,"$",146000000,277000000
"232","New Zealand",2020-10-16,3,"$",142000000,238000000
"233","New Zealand",2020-10-17,3,"$",144000000,25000000
"234","New Zealand",2020-10-18,0,"$",152000000,36000000
"235","New Zealand",2020-10-19,1,"$",225000000,203000000
"236","New Zealand",2020-10-20,25,"$",107000000,221000000
"237","New Zealand",2020-10-21,2,"$",199000000,230000000
"238","New Zealand",2020-10-22,9,"$",156000000,259000000
"239","New Zealand",2020-10-23,11,"$",149000000,231000000
"240","New Zealand",2020-10-24,1,"$",95000000,31000000
"241","New Zealand",2020-10-25,5,"$",140000000,39000000
"242","New Zealand",2020-10-26,1,"$",162000000,51000000
"243","New Zealand",2020-10-27,2,"$",178000000,262000000
"244","New Zealand",2020-10-28,6,"$",292000000,265000000
"245","New Zealand",2020-10-29,1,"$",132000000,249000000
"246","New Zealand",2020-10-30,7,"$",144000000,224000000
"247","New Zealand",2020-10-31,2,"$",157000000,30000000
"248","New Zealand",2020-11-01,4,"$",144000000,80000000
"249","New Zealand",2020-11-02,5,"$",268000000,255000000
"250","New Zealand",2020-11-03,3,"$",115000000,248000000
"251","New Zealand",2020-11-04,2,"$",165000000,200000000
"252","New Zealand",2020-11-05,1,"$",159000000,211000000
"253","New Zealand",2020-11-06,2,"$",162000000,208000000
"254","New Zealand",2020-11-07,6,"$",174000000,24000000
"255","New Zealand",2020-11-08,4,"$",99000000,33000000
"256","New Zealand",2020-11-09,1,"$",180000000,218000000
"257","New Zealand",2020-11-10,1,"$",161000000,260000000
"258","New Zealand",2020-11-11,3,"$",145000000,188000000
"259","New Zealand",2020-11-12,4,"$",140000000,251000000
"260","New Zealand",2020-11-13,3,"$",127000000,168000000
"261","New Zealand",2020-11-14,3,"$",220000000,24000000
"262","New Zealand",2020-11-15,0,"$",146000000,32000000
"263","New Zealand",2020-11-16,4,"$",213000000,262000000
"264","New Zealand",2020-11-17,3,"$",258000000,255000000
"265","New Zealand",2020-11-18,2,"$",248000000,183000000
"266","New Zealand",2020-11-19,3,"$",135000000,192000000
"267","New Zealand",2020-11-20,6,"$",152000000,179000000
"268","New Zealand",2020-11-21,9,"$",249000000,26000000
"269","New Zealand",2020-11-22,2,"$",107000000,32000000
"270","New Zealand",2020-11-23,1,"$",243000000,283000000
"271","New Zealand",2020-11-24,8,"$",137000000,174000000
"272","New Zealand",2020-11-25,1,"$",248000000,259000000
"273","New Zealand",2020-11-26,7,"$",169000000,251000000
"274","New Zealand",2020-11-27,3,"$",144000000,165000000
"275","New Zealand",2020-11-28,0,"$",127000000,27000000
"276","New Zealand",2020-11-29,6,"$",116000000,25000000
"277","New Zealand",2020-11-30,3,"$",247000000,207000000
"278","New Zealand",2020-12-01,1,"$",176000000,349000000
"279","New Zealand",2020-12-02,9,"$",107000000,228000000
"280","New Zealand",2020-12-03,0,"$",176000000,236000000
"281","New Zealand",2020-12-04,9,"$",175000000,199000000
"282","New Zealand",2020-12-05,0,"$",215000000,31000000
"283","New Zealand",2020-12-06,1,"$",142000000,31000000
"284","New Zealand",2020-12-07,6,"$",260000000,263000000
"285","New Zealand",2020-12-08,3,"$",137000000,233000000
"286","New Zealand",2020-12-09,0,"$",206000000,215000000
"287","New Zealand",2020-12-10,4,"$",186000000,226000000
"288","New Zealand",2020-12-11,0,"$",123000000,262000000
"289","New Zealand",2020-12-12,4,"$",160000000,33000000
"290","New Zealand",2020-12-13,0,"$",132000000,46000000
"291","New Zealand",2020-12-14,0,"$",215000000,210000000
"292","New Zealand",2020-12-15,4,"$",216000000,268000000
"293","New Zealand",2020-12-16,0,"$",256000000,241000000
"294","New Zealand",2020-12-17,10,"$",286000000,259000000
"295","New Zealand",2020-12-18,0,"$",159000000,193000000
"296","New Zealand",2020-12-19,6,"$",184000000,32000000
"297","New Zealand",2020-12-20,5,"$",166000000,40000000
"298","New Zealand",2020-12-21,0,"$",104000000,248000000
"299","New Zealand",2020-12-22,7,"$",242000000,285000000
"300","New Zealand",2020-12-23,0,"$",136000000,273000000
"301","New Zealand",2020-12-24,0,"$",135000000,203000000
"302","New Zealand",2020-12-25,0,"$",82000000,8000000
"303","New Zealand",2020-12-26,16,"$",82000000,23000000
"304","New Zealand",2020-12-27,0,"$",172000000,24000000
"305","New Zealand",2020-12-28,7,"$",286000000,34000000
"306","New Zealand",2020-12-29,0,"$",189000000,251000000
"307","New Zealand",2020-12-30,11,"$",146000000,216000000
"308","New Zealand",2020-12-31,0,"$",133000000,150000000
"309","New Zealand",2021-01-01,0,"$",85000000,89000000
"310","New Zealand",2021-01-02,19,"$",132000000,28000000
"311","New Zealand",2021-01-03,0,"$",165000000,23000000
"312","New Zealand",2021-01-04,5,"$",87000000,52000000
"313","New Zealand",2021-01-05,0,"$",86000000,249000000
"314","New Zealand",2021-01-06,2,"$",105000000,239000000
"315","New Zealand",2021-01-07,0,"$",130000000,235000000
"316","New Zealand",2021-01-08,0,"$",84000000,227000000
"317","New Zealand",2021-01-09,31,"$",112000000,26000000
"318","New Zealand",2021-01-10,3,"$",67000000,33000000
"319","New Zealand",2021-01-11,0,"$",104000000,214000000
"320","New Zealand",2021-01-12,6,"$",96000000,229000000
"321","New Zealand",2021-01-13,0,"$",161000000,220000000
"322","New Zealand",2021-01-14,18,"$",217000000,206000000
"323","New Zealand",2021-01-15,0,"$",103000000,236000000
"324","New Zealand",2021-01-16,10,"$",91000000,34000000
"325","New Zealand",2021-01-17,6,"$",115000000,39000000
"326","New Zealand",2021-01-18,0,"$",96000000,231000000
"327","New Zealand",2021-01-19,5,"$",102000000,241000000
"328","New Zealand",2021-01-20,0,"$",129000000,196000000
"329","New Zealand",2021-01-21,9,"$",166000000,238000000
"330","New Zealand",2021-01-22,0,"$",197000000,167000000
"331","New Zealand",2021-01-23,7,"$",195000000,24000000
"332","New Zealand",2021-01-24,5,"$",183000000,38000000
"333","New Zealand",2021-01-25,2,"$",171000000,200000000
"334","New Zealand",2021-01-26,5,"$",137000000,229000000
"335","New Zealand",2021-01-27,4,"$",242000000,288000000
"336","New Zealand",2021-01-28,6,"$",202000000,239000000
"337","New Zealand",2021-01-29,-2,"$",165000000,312000000
"338","New Zealand",2021-01-30,1,"$",138000000,34000000
"339","New Zealand",2021-01-31,0,"$",140000000,33000000
