"","Period","Value","Type"
"9410",2018-04-04,14.143,"Exports_Cumulative_billion"
"14621",2018-04-04,14.683,"Imports_Cumulative_billion"
"9510",2018-04-05,14.276,"Exports_Cumulative_billion"
"1463",2018-04-05,14.927,"Imports_Cumulative_billion"
"9610",2018-04-06,14.455,"Exports_Cumulative_billion"
"1464",2018-04-06,15.163,"Imports_Cumulative_billion"
"9710",2018-04-07,14.566,"Exports_Cumulative_billion"
"1465",2018-04-07,15.189,"Imports_Cumulative_billion"
"9810",2018-04-08,14.746,"Exports_Cumulative_billion"
"1466",2018-04-08,15.224,"Imports_Cumulative_billion"
"9910",2018-04-09,15.005,"Exports_Cumulative_billion"
"1467",2018-04-09,15.406,"Imports_Cumulative_billion"
"10010",2018-04-10,15.083,"Exports_Cumulative_billion"
"1468",2018-04-10,15.616,"Imports_Cumulative_billion"
"10110",2018-04-11,15.209,"Exports_Cumulative_billion"
"1469",2018-04-11,15.805,"Imports_Cumulative_billion"
"10210",2018-04-12,15.358,"Exports_Cumulative_billion"
"1470",2018-04-12,16.043,"Imports_Cumulative_billion"
"10310",2018-04-13,15.463,"Exports_Cumulative_billion"
"14711",2018-04-13,16.233,"Imports_Cumulative_billion"
"10410",2018-04-14,15.582,"Exports_Cumulative_billion"
"14721",2018-04-14,16.261,"Imports_Cumulative_billion"
"10510",2018-04-15,15.755,"Exports_Cumulative_billion"
"1473",2018-04-15,16.325,"Imports_Cumulative_billion"
"10610",2018-04-16,16.009,"Exports_Cumulative_billion"
"1474",2018-04-16,16.535,"Imports_Cumulative_billion"
"10710",2018-04-17,16.145,"Exports_Cumulative_billion"
"1475",2018-04-17,16.789,"Imports_Cumulative_billion"
"10810",2018-04-18,16.331,"Exports_Cumulative_billion"
"1476",2018-04-18,16.982,"Imports_Cumulative_billion"
"10910",2018-04-19,16.483,"Exports_Cumulative_billion"
"1477",2018-04-19,17.174,"Imports_Cumulative_billion"
"11010",2018-04-20,16.678,"Exports_Cumulative_billion"
"1478",2018-04-20,17.367,"Imports_Cumulative_billion"
"11110",2018-04-21,16.777,"Exports_Cumulative_billion"
"1479",2018-04-21,17.394,"Imports_Cumulative_billion"
"11210",2018-04-22,16.982,"Exports_Cumulative_billion"
"1480",2018-04-22,17.425,"Imports_Cumulative_billion"
"11310",2018-04-23,17.291,"Exports_Cumulative_billion"
"14811",2018-04-23,17.746,"Imports_Cumulative_billion"
